HRS1,marital,childs,age,educ,sex,born,income,region,partyid,polviews,attend,pray
40,1,0,28,10,1,1,12,5,1,5,0,1
60,5,0,33,13,1,2,12,5,5,4,0,1
60,3,1,42,12,1,1,12,5,5,7,4,4
50,1,2,60,20,2,1,12,3,3,4,7,1
75,5,0,35,20,1,1,12,3,0,2,2,1
43,4,3,49,13,1,1,12,3,5,3,3,3
60,5,0,26,15,1,1,9,3,5,4,6,3
40,1,0,26,16,2,1,12,3,0,3,7,2
48,1,3,58,12,2,1,12,3,1,4,5,1
60,3,2,57,12,2,1,12,3,1,4,3,1
60,1,2,47,16,1,1,12,3,0,2,5,5
60,1,2,53,19,1,1,12,3,6,6,7,5
85,5,0,54,8,1,1,12,3,2,1,0,6
39,5,0,22,12,1,1,9,3,3,7,2,6
35,5,1,25,13,1,1,12,3,0,4,0,2
40,1,1,56,12,2,1,12,3,1,2,2,3
40,5,1,25,12,1,1,12,3,2,3,0,1
37,5,0,55,12,2,1,12,3,0,2,0,2
50,5,2,27,14,1,1,11,3,3,3,0,6
25,4,3,52,8,2,1,9,3,4,4,0,2
60,5,1,36,14,2,1,12,3,2,2,0,1
40,1,0,31,16,2,1,12,3,3,4,8,1
40,1,0,58,16,1,1,12,9,0,1,0,1
40,5,0,19,14,2,1,12,9,7,4,0,6
40,1,2,40,16,2,1,12,9,1,4,1,3
40,1,2,44,14,2,1,12,9,2,3,7,1
55,1,2,54,16,1,1,12,9,2,3,0,6
40,3,4,68,19,1,1,12,9,7,6,2,2
40,1,1,61,18,2,1,12,9,1,4,0,6
40,3,3,56,15,2,1,12,9,1,5,1,2
30,1,0,28,15,2,1,12,9,2,4,2,4
40,1,0,29,13,1,1,12,9,2,2,0,5
40,1,0,29,19,2,1,12,9,2,2,2,6
50,5,0,34,16,2,1,12,9,3,4,0,4
80,1,1,58,14,1,1,12,9,1,4,1,2
42,1,1,35,18,1,1,12,9,4,4,1,4
40,1,2,53,15,1,1,12,8,3,3,3,5
60,1,2,52,20,1,1,12,8,4,5,3,3
36,5,0,41,12,2,1,12,8,5,5,6,1
48,3,0,42,16,1,1,12,8,6,5,7,1
40,1,1,58,12,1,1,12,8,5,5,0,2
40,1,3,38,10,2,1,12,8,3,3,8,1
60,1,2,40,17,2,2,12,8,4,5,7,1
45,3,2,31,13,1,1,12,8,7,4,0,6
60,1,6,56,16,2,1,12,8,3,5,7,1
65,1,1,34,17,1,1,12,8,3,4,7,1
40,5,1,23,14,2,1,12,8,2,4,0,3
55,1,2,51,20,2,1,12,8,1,5,7,2
45,5,2,53,13,2,1,12,8,7,3,4,2
45,5,0,30,16,2,1,12,8,6,6,7,1
40,1,4,60,12,2,1,12,8,1,4,3,1
37,5,0,28,14,2,1,12,8,5,4,3,3
40,5,0,37,12,1,1,12,8,5,5,2,2
60,1,2,25,18,1,1,12,8,4,4,0,6
40,5,0,41,16,2,1,12,8,5,4,0,5
40,5,0,43,16,2,1,12,8,1,4,7,1
45,5,0,34,12,1,1,11,8,5,4,0,5
